Title,Synopsis,Original Language,Runtime,Director,Top Cast,Tomato Meter,Audience Score,No. Reviews,Genre,Link,All Genres
The Little Things 2021,"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case.",Eng,127,John Lee Hancock,"['Denzel Washington', 'Joe ""Deke"" Deacon', 'Rami Malek', 'Jim Baxter', 'Jared Leto', 'Albert Sparma', 'Natalie Morales', 'Detective Jamie Estrada', 'Terry Kinney', 'LASD Captain Carl Farris', 'Chris Bauer', 'Detective Sal Rizoli']",0.45,0.67,266,Mystery & thriller,https://www.rottentomatoes.com/m/the_little_things_2021,"Mystery & thriller, Crime, Drama"
Locked In 2023,"Unhappy newlywed Lina is against her rich, coldhearted mother-in-law, Katherine. An affair sets off a chain reaction that will result in a love triangle, a murder and a plot to bring Lina down.",Eng,96,Nour Wazzi,"['Famke Janssen', 'Katherine', 'Anna Friel', 'Finn Cole', 'Rose Williams', 'Lina', 'Alex Hassell', 'Guy Robbins', 'Paramedic']",0.29,0.26,7,Crime,https://www.rottentomatoes.com/m/locked_in_2023,"Crime, Drama, Mystery & thriller"
Natural Born Killers,"Woody Harrelson and Juliette Lewis are two young, attractive serial killers who become tabloid-TV darlings, thanks to a sensationalistic press led by Robert Downey Jr. The press reports the pair as they go on a 52 people killing spree. A controversial look at the way the media portrays criminals.",Eng,119,Oliver Stone,"['Woody Harrelson', 'Mickey Knox', 'Juliette Lewis', 'Mallory Wilson Knox', 'Robert Downey Jr.', 'Wayne Gale', 'Tommy Lee Jones', 'Dwight McClusky', 'Tom Sizemore', 'Det. Jack Scagnetti', 'Rodney Dangerfield', 'Ed Wilson']",0.5,0.81,46,Crime,https://www.rottentomatoes.com/m/natural_born_killers,"Crime, Drama"
Man On Fire,"In a Mexico City wracked by a recent wave of kidnappings, ex-CIA operative John Creasy (Denzel Washington) reluctantly accepts a job as a bodyguard for 9-year-old Lupita (Dakota Fanning), the daughter of wealthy businessman Samuel Ramos (Marc Anthony). Just as Creasy begins to develop a fondness for the young girl, a bloodthirsty gunman (Jesús Ochoa) kidnaps her. Now, Creasy must pick off a succession of corrupt cops and criminals to reach his ultimate object of vengeance.",Eng,145,Tony Scott,"['Denzel Washington', 'Creasy', 'Dakota Fanning', 'Pita', 'Christopher Walken', 'Rayburn', 'Giancarlo Giannini', 'Manzano', 'Radha Mitchell', 'Lisa', 'Marc Anthony', 'Samuel']",0.39,0.89,168,Crime,https://www.rottentomatoes.com/m/man_on_fire,"Crime, Drama"
Righteous Kill,"Detectives Thomas Cowan (Robert De Niro) and David Fisk (Al Pacino), 30-year veterans of the NYPD, investigate the murder of a pimp. The crime resembles a case they solved many years earlier. As the body count rises, they realize they're dealing with a vigilante taking over when the police fail. The similarities between past and present crimes leads the detectives to wonder if they put the wrong man behind bars.",Eng,100,Jon Avnet,"['Robert De Niro', 'Detective Thomas Cowan', 'Al Pacino', 'Detective David Fisk', '50 Cent', 'Spider', 'Carla Gugino', 'Karen Kleisner', 'Donnie Wahlberg', 'Detective Riley', 'Trilby Glover', 'Jessica']",0.18,0.37,148,Crime,https://www.rottentomatoes.com/m/righteous_kill,"Crime, Drama"
True Story 2014,"New York Times journalist Michael Finkel (Jonah Hill) loses his job when it's revealed that he was not entirely truthful in a cover story he wrote on contemporary slave trading in Africa. His world collapses even further when he learns he's a victim of identity theft; a man named Christian Longo (James Franco) assumed Finkel's name and stood accused of murdering his own family. Seeing a way to rebuild his shattered reputation, Finkel meets with Longo to hear his story.",Eng,104,Rupert Goold,"['Jonah Hill', 'Michael Finkel', 'James Franco', 'Christian Longo', 'Felicity Jones', 'Jill Barker', 'Robert John Burke', 'Greg Ganley', 'Gretchen Mol', 'Karen', 'Ethan Suplee', 'Pat Frato']",0.45,0.38,169,Crime,https://www.rottentomatoes.com/m/true_story_2014,"Crime, Drama, Mystery & thriller"
Luckiest Girl Alive,"Luckiest Girl Alive centers on Ani FaNelli, a sharp-tongued New Yorker who appears to have it all: a sought-after position at a glossy magazine, a killer wardrobe, and a dream Nantucket wedding on the horizon. But when the director of a crime documentary invites her to tell her side of the shocking incident that took place when she was a teenager at the prestigious Brentley School, Ani is forced to confront a dark truth that threatens to unravel her meticulously crafted life.",Eng,113,Mike Barker,"['Mila Kunis', 'Adult Ani', 'Finn Wittrock', 'Luke', 'Chiara Aurelia', 'Young Ani', 'Scoot McNairy', 'Thomas Barbusca', 'Justine Lupe']",0.44,0.71,57,Crime,https://www.rottentomatoes.com/m/luckiest_girl_alive,"Crime, Drama"
The Snowman 2017,"For Detective Harry Hole, the death of a young woman during the first snowfall of winter feels like anything but a routine homicide. His investigation leads him to ""The Snowman Killer,"" an elusive sociopath who continuously taunts Hole with cat-and-mouse games. As the vicious murders continue, Harry teams up with a brilliant recruit to try and lure the madman out of the shadows before he can strike again.",Eng,145,Tomas Alfredson,"['Michael Fassbender', 'Harry Hole', 'Rebecca Ferguson', 'Katrine Bratt', 'Charlotte Gainsbourg', 'Rakel', 'Jonas Karlsson', 'Mathias', 'J.K. Simmons', 'Arve Stop', 'Val Kilmer', 'Rafto']",0.07,0.18,200,Mystery & thriller,https://www.rottentomatoes.com/m/the_snowman_2017,"Mystery & thriller, Crime, Drama"
The Highwaymen,Former Texas Rangers Frank Hamer and Maney Gault join forces to try and capture notorious outlaws Bonnie Parker and Clyde Barrow.,Eng,132,John Lee Hancock,"['Kevin Costner', 'Frank Hamer', 'Woody Harrelson', 'Maney Gault', 'Kathy Bates', 'Governor Ma Ferguson', 'John Carroll Lynch', 'Lee Simmons', 'Kim Dickens', 'Gladys Hamer', 'Thomas Mann', 'Ted Hinton']",0.58,0.76,142,Crime,https://www.rottentomatoes.com/m/the_highwaymen,"Crime, Drama"
Law Abiding Citizen,"Clyde Shelton (Gerard Butler) is an honorable family man, until the day his wife and daughter are murdered in a home invasion. He hopes for justice, but a rising prosecutor named Nick Rice (Jamie Foxx) cuts a deal with one of the killers in exchange for testimony. Ten years later, that man is found dead and Shelton coolly admits his guilt. Then he hands Rice an ultimatum: Fix the broken legal system or suffer the consequences.",Eng,108,F. Gary Gray,"['Jamie Foxx', 'Nick Rice', 'Gerard Butler', 'Clyde Shelton', 'Colm Meaney', 'Det. Dunnigan', 'Bruce McGill', 'Jonas Cantrell', 'Leslie Bibb', 'Sarah Lowell', 'Michael Irby', 'Det. Garza']",0.26,0.75,163,Mystery & thriller,https://www.rottentomatoes.com/m/law_abiding_citizen,"Mystery & thriller, Crime, Drama"
Lucky Number Slevin,"A case of mistaken identity puts a man named Slevin (Josh Hartnett) in the middle of a war between two rival New York crime lords: The Rabbi (Ben Kingsley) and the Boss (Morgan Freeman). While under the watchful eyes of Detective Brikowski (Stanley Tucci) and well-known assassin Goodkat (Bruce Willis), Slevin must quickly devise a plan to save his skin before his luck runs out.",Eng,110,Paul McGuigan,"['Josh Hartnett', 'Slevin Kelevra', 'Morgan Freeman', 'The Boss', 'Ben Kingsley', 'The Rabbi', 'Lucy Liu', 'Lindsey', 'Bruce Willis', 'Mr. Goodkat', 'Stanley Tucci', 'Det. Brikowski']",0.52,0.87,154,Crime,https://www.rottentomatoes.com/m/lucky_number_slevin,"Crime, Drama, Mystery & thriller"
The Outsider 2018,"After World War II, an American POW stays in Japan and works his way through the rituals and hardships of the yakuza to become a member of the crime organization.",Eng,120,Martin Zandvliet,"['Jared Leto', 'Nick Lowell', 'Tadanobu Asano', 'Kiyoshi', 'Rory Cochrane', 'Panetti', 'Kippei Shiina', 'Orochi', 'Emile Hirsch', 'Paulie Bowers', 'Shiori Kutsuna', 'Miyu']",0.17,0.67,24,Crime,https://www.rottentomatoes.com/m/the_outsider_2018,"Crime, Drama, Mystery & thriller"
Takers,"Gordon Jennings (Idris Elba) and his friends enjoy a luxurious lifestyle funded by bank robberies, and they avoid capture by sticking to a strict set of rules. As they celebrate the latest job, a former associate arrives with a daring plan to rob an armored car. The lure of so much cash is too tempting to resist but, unbeknown to Gordon's men, this heist puts them on a collision course with Russian mobsters and a detective (Matt Dillon) who will do anything to capture them.",Eng,107,John Luessenhop,"['Matt Dillon', 'Det. Jack Welles', 'Paul Walker', 'John Rahway', 'Idris Elba', 'Gordon Jennings', 'Hayden Christensen', 'A.J.', 'Chris Brown', 'Jesse', 'Michael Ealy', 'Jake']",0.28,0.62,117,Action,https://www.rottentomatoes.com/m/takers,"Action, Crime, Drama, Mystery & thriller"
The Tax Collector,Two enforcers for a crime lord face an uncertain future when an old rival reappears.,Eng,95,David Ayer,"['Bobby Soto', 'David', 'Shia LaBeouf', 'Creeper', 'Cinthya Carmona', 'Alexis', 'George Lopez', 'Uncle Louis', 'Chelsea Rendon', 'Lupe', 'Karrie Martin', ""Victor's Wife""]",0.18,0.72,72,Mystery & thriller,https://www.rottentomatoes.com/m/the_tax_collector,"Mystery & thriller, Crime, Drama"
Only God Forgives 2013,"In Thailand, a drug trafficker's (Ryan Gosling) icy mother (Kristin Scott Thomas) sends him on a mission to avenge his older brother, who was killed for beating an underage prostitute to death.",Eng,90,Nicolas Winding Refn,"['Ryan Gosling', 'Julian', 'Kristin Scott Thomas', 'Crystal', 'Vithaya Pansringarm', 'Chang', 'Rhatha Phongam', 'Mai', 'Gordon Brown', 'Gordon', 'Tom Burke', 'Billy']",0.41,0.37,170,Crime,https://www.rottentomatoes.com/m/only_god_forgives_2013,"Crime, Drama, Mystery & thriller"
Next Three Days,"Life for John and Lara Brennan (Russell Crowe, Elizabeth Banks) is miserable after she is convicted of a murder she says she did not commit. Three years later while struggling with the demands of work and raising his son alone, John is still trying to establish her innocence. When her final appeal is rejected, Lara becomes suicidal, forcing John to exercise the only option he has left: Break her out of prison.",Eng,133,Paul Haggis,"['Russell Crowe', 'John Brennan', 'Elizabeth Banks', 'Lara Brennan', 'Brian Dennehy', 'George Brennan', 'Lennie James', 'Lt. Nabulsi', 'Olivia Wilde', 'Nicole', 'Ty Simpkins', 'Luke']",0.5,0.66,170,Mystery & thriller,https://www.rottentomatoes.com/m/next_three_days,"Mystery & thriller, Crime, Drama, Action"
The Whole Truth 2016,A defense attorney (Keanu Reeves) tries to get his teenage client (Gabriel Basso) acquitted for the murder of his father (Jim Belushi).,Eng,93,Courtney Hunt,"['Keanu Reeves', 'Ramsey', 'Renée Zellweger', 'Loretta', 'Gugu Mbatha-Raw', 'Janelle', 'Gabriel Basso', 'Mike', 'Jim Belushi', 'Boone', 'Sean Bridgers', 'Arthur Westin']",0.34,0.33,32,Crime,https://www.rottentomatoes.com/m/the_whole_truth_2016,"Crime, Drama, Mystery & thriller"
Terminal 2018,"In the dark heart of a sprawling and anonymous city, two assassins carry out a sinister mission, a teacher battles a fatal illness, an enigmatic janitor and a curious waitress lead a dangerous double life. Murderous consequences unravel in the dead of night as their lives all intertwine at the hands of a mysterious criminal mastermind who is hell-bent on revenge.",Eng,96,Vaughn Stein,"['Margot Robbie', 'Annie , Bonnie', 'Simon Pegg', 'Bill', 'Dexter Fletcher', 'Vince', 'Mike Myers', 'Clinton, Mr. Franklyn', 'Max Irons', 'Alfred', 'Katarina Cas', 'Chloe Merryweather']",0.21,0.36,68,Mystery & thriller,https://www.rottentomatoes.com/m/terminal_2018,"Mystery & thriller, Crime, Drama"
Out Of The Furnace,"Steelworker Russell Baze (Christian Bale) works a dead-end job and holds tight to his sense of family, duty and loyalty. Rodney Baze (Casey Affleck), Russell's brother, returns home after serving in Iraq and, with his debts piling up, becomes entangled with a vicious crime lord (Woody Harrelson). Soon afterward, Rodney disappears mysteriously. The police fail to solve the case, so Russell -- feeling he has little left to lose -- puts his life on the line to bring his brother home.",Eng,116,Scott Cooper,"['Christian Bale', 'Russell Baze', 'Woody Harrelson', 'Curtis DeGroat', 'Casey Affleck', 'Rodney Baze Jr.', 'Forest Whitaker', 'Wesley Barnes', 'Willem Dafoe', 'John Petty', 'Zoe Saldana', 'Lena Warren']",0.53,0.52,199,Crime,https://www.rottentomatoes.com/m/out_of_the_furnace,"Crime, Drama, Mystery & thriller"
Marlowe 2022,"MARLOWE, a gripping noir crime thriller set in late 1930’s Bay City, centers around a brooding, down on his luck detective; Philip Marlowe, played by Liam Neeson, who is hired to find the ex-lover of a glamorous heiress (Diane Kruger), daughter of a well-known movie star (Jessica Lange). The disappearance is the first twist in a series of bewildering events, and soon Marlowe is embroiled in a deadly investigation and web of lies that he’s determined to bring to light.",Eng,109,Neil Jordan,"['Liam Neeson', 'Philip Marlowe', 'Jessica Lange', 'Dorothy Cavendish', 'Diane Kruger', 'Clare Cavendish', 'Alan Cumming', 'Lou Hendricks', 'Danny Huston', 'Floyd Hanson', 'Adewale Akinnuoye-Agbaje', 'Cedric']",0.27,0.37,109,Mystery & thriller,https://www.rottentomatoes.com/m/marlowe_2022,"Mystery & thriller, Crime"
The Counselor 2013,"A Bentley-driving Texas lawyer (Michael Fassbender) appears to have it all, including a beautiful fiancee named Laura (Penélope Cruz) -- but his financial needs force him to become involved in an ill-advised drug deal. His partners in the venture include middleman Westray (Brad Pitt), shady nightclub owner Reiner (Javier Bardem) and Malkina (Cameron Diaz), Reiner's sociopathic lover. Unsurprisingly, the counselor's deal spirals out of control, placing both him and Laura in mortal danger.",Eng,117,Ridley Scott,"['Michael Fassbender', 'Counselor', 'Penélope Cruz', 'Laura', 'Cameron Diaz', 'Malkina', 'Javier Bardem', 'Reiner', 'Brad Pitt', 'Westray', 'Bruno Ganz', 'Diamond Dealer']",0.34,0.23,220,Mystery & thriller,https://www.rottentomatoes.com/m/the_counselor_2013,"Mystery & thriller, Crime, Drama"
The Gambler 2015,"Literature professor Jim Bennett (Mark Wahlberg) leads a secret life as a high-stakes gambler. Always a risk-taker, Bennett bets it all when he borrows from a gangster and offers his own life as collateral. Staying one step ahead, he pits his creditor against the operator of an illicit gambling ring while garnering the attention of Frank (John Goodman), a paternalistic loan shark. As his relationship with a student (Brie Larson) deepens, Bennett must risk everything for a second chance.",Eng,111,Rupert Wyatt,"['Mark Wahlberg', 'Jim Bennett', 'John Goodman', 'Frank', 'Brie Larson', 'Amy Phillips', 'Michael Kenneth Williams', 'Neville Baraka', 'Jessica Lange', 'Roberta', 'Sonya Walger', 'Angelina']",0.44,0.31,144,Crime,https://www.rottentomatoes.com/m/the_gambler_2015,"Crime, Drama"
Irreversible,A woman's lover and her former boyfriend take justice into their own hands after she becomes the victim of a rapist.,Fre,94,Gaspar Noé,"['Monica Bellucci', 'Alex', 'Vincent Cassel', 'Marcus', 'Albert Dupontel', 'Pierre', 'Jo Prestia', 'Le Tenia', 'Fatima Adoum', 'Fatima', 'Philippe Nahon', 'Philippe']",0.59,0.8,126,Crime,https://www.rottentomatoes.com/m/irreversible,"Crime, Drama, Mystery & thriller"
Charlie Countryman,"In Romania, an American tourist (Shia LaBeouf) falls for the estranged wife (Evan Rachel Wood) of a brutal gangster (Mads Mikkelsen).",Eng,108,Fredrik Bond,"['Shia LaBeouf', 'Charlie Countryman', 'Evan Rachel Wood', 'Gabi Banyai', 'Mads Mikkelsen', 'Nigel', 'John Hurt', 'Narrator', 'Rupert Grint', 'Carl', ""Vincent D'Onofrio"", 'Bill']",0.27,0.49,66,Romance,https://www.rottentomatoes.com/m/charlie_countryman,"Romance, Crime, Drama"
Confidential Informant,"This gritty crime thriller starring Mel Gibson tells the tale of two narcotics agents hunting for a cop killer during a crack epidemic. Hoping for leads, Moran (Dominic Purcell, ""Prison Break"") and Thorton (Nick Stahl, Sin City) pay off a junkie informant. To provide for his wife (Kate Bosworth, Superman Returns) and son, Moran involves the stool pigeon in a deadly scheme. This causes the partners to come under the scrutiny of a suspicious internal affairs agent, leading to an explosive finale....",Eng,88,Michael Oblowitz,"['Dominic Purcell', 'Tom Moran', 'Mel Gibson', 'Kevin Hickey', 'Nick Stahl', 'Mike Thorton', 'Kate Bosworth', 'Anna Moran', 'Arielle Raycene', 'Ginger', 'Erik Valdez', 'Carlos , Señor']",0.0,0.42,11,Crime,https://www.rottentomatoes.com/m/confidential_informant,"Crime, Drama, Mystery & thriller, Action"
We Own The Night,"In 1988, New York's police wage an all-out war on drugs, and guilty and innocent alike become casualties. Bobby Green (Joaquin Phoenix), manager of a nightclub that is often frequented by gangsters, tries to remain neutral but hides a potentially fatal secret: His brother (Mark Wahlberg) and father (Robert Duvall) are both cops. After his brother is wounded in an assassination attempt, Bobby can no longer remain neutral. He joins forces with his brother for an all-out assault on the mob.",Eng,118,James Gray,"['Joaquin Phoenix', 'Bobby Green', 'Mark Wahlberg', 'Joseph Grusinsky', 'Eva Mendes', 'Amada Juarez', 'Robert Duvall', 'Bert Grusinsky', 'Antoni Corone', 'Michael Solo', 'Moni Moshonov', 'Marat Bujayev']",0.57,0.61,154,Crime,https://www.rottentomatoes.com/m/we_own_the_night,"Crime, Drama"
Above Suspicion 2021,"Based on the true story of one of the most notorious crimes in FBI history, this gritty crime-thriller stars Emilia Clarke (""Game of Thrones"") as Susan Smith, a young woman desperate to escape a seedy life of crime and drugs in a Kentucky coal mining town. When a newly minted FBI agent named Mark Putnam (Jack Huston, ""Fargo"") recruits Susan as his informant for a high-profile case, she believes her bad luck may finally be changing. But as Susan and Putnam's relationship deepens, so does the danger, setting them both on a collision course with deadly consequences.",Eng,105,Phillip Noyce,"['Emilia Clarke', 'Susan Smith', 'Thora Birch', 'Jolene', 'Jack Huston', 'Mark', 'Johnny Knoxville', 'Cash', 'Kevin Dunn', 'Bob Singer', 'Karl Glusman', 'Joe-Bea']",0.24,0.42,41,Crime,https://www.rottentomatoes.com/m/above_suspicion_2021,"Crime, Drama, Mystery & thriller"
Den Of Thieves,"Nick O'Brien is the hard-drinking leader of the Regulators, an elite unit of the Los Angeles County Sheriff's Department. Ray Merrimen is the recently paroled leader of the Outlaws, a gang of ex-military men who use their expertise and tactical skills to evade the law. O'Brien, Merrimen and their crews soon find themselves on a direct collision course as the criminals hatch an elaborate plan for a seemingly impossible heist -- the city's Federal Reserve Bank.",Eng,140,Christian Gudegast,"['Gerard Butler', '""Big Nick"" O\'Brien', 'Pablo Schreiber', 'Ray Merrimen', ""O'Shea Jackson Jr."", 'Donnie Wilson', '50 Cent', 'Enson Levoux', 'Meadow Williams', 'Holly', 'Maurice Compte', 'Benny ""Borracho"" Magalon']",0.41,0.62,136,Crime,https://www.rottentomatoes.com/m/den_of_thieves,"Crime, Drama, Mystery & thriller, Action"
The Vault 2021,"Freddie Highmore (""The Good Doctor"") and Famke Janssen (X-Men) star in this globe-trotting, action-packed thriller following a high-risk heist. When an engineer (Highmore) learns of a mysterious, impenetrable fortress hidden under The Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure locked inside while the whole country is distracted by Spain's World Cup Final. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew have just minutes to pull off the score of a lifetime. Also starring Astrid Berges-Frisbey (Pirates of the Caribbean: On Stranger Tides) and Liam Cunningham (""Game of Thrones"").",Eng,118,Jaume Balagueró,"['Freddie Highmore', 'Thom', 'Astrid Berges-Firsbey', 'Lorraine', 'Sam Riley', 'James', 'Liam Cunningham', 'Walter', 'José Coronado', 'Gustavo', 'Luis Tosar', 'Simon']",0.58,0.52,31,Mystery & thriller,https://www.rottentomatoes.com/m/the_vault_2021,"Mystery & thriller, Action, Crime, Drama"
1078030-Hoodlum,"Having just been released from jail, Bumpy Johnson (Laurence Fishburne) returns to his criminal ways as a linchpin in the African-American-run numbers racket. However, Bumpy's longtime friend Illinois Gordon (Chi McBride) and girlfriend Francine Hughes (Vanessa Williams) are both eager to get him back on the straight and narrow. But a brewing rivalry with Mafia boss Lucky Luciano (Andy Garcia) and his henchman Dutch Schultz (Tim Roth) threatens to raise the stakes to dangerous new levels.",Eng,130,Bill Duke,"['Laurence Fishburne', 'Bumpy Johnson', 'Tim Roth', 'Dutch Schultz', 'Vanessa Williams', 'Francine Hughes', 'Andy Garcia', 'Lucky Luciano', 'Cicely Tyson', 'Stephanie St. Clair', 'Chi McBride', 'Illinois Gordon']",0.43,0.65,21,Crime,https://www.rottentomatoes.com/m/1078030-hoodlum,"Crime, Drama"
Brooklyns Finest,"A massive drug operation changes the lives of three conflicted New York cops. Burned-out vet Eddie Dugan (Richard Gere) is close to retirement; narcotics cop Sal Procida (Ethan Hawke) faces the difficult task of caring for his large family on his ordinary salary; undercover officer Clarence ""Tango"" Butler (Don Cheadle) finds his loyalties beginning to shift toward a powerful drug dealer. Over seven chaotic days, the three men are drawn toward a fateful crime and destiny.",Eng,125,Antoine Fuqua,"['Richard Gere', 'Eddie', 'Don Cheadle', 'Tango', 'Ethan Hawke', 'Sal', 'Wesley Snipes', 'Caz', 'Will Patton', 'Bill', 'Ellen Barkin', 'Smith']",0.44,0.46,153,Crime,https://www.rottentomatoes.com/m/brooklyns_finest,"Crime, Drama"
10008754-Flawless,"A janitor (Michael Caine) convinces a frustrated executive (Demi Moore) to help him steal gems from their employer, the London Diamond Corp.",Eng,106,Michael Radford,"['Michael Caine', 'Hobbs', 'Demi Moore', 'Laura Quinn', 'Lambert Wilson', 'Finch', 'Joss Ackland', 'Sir Milton', 'Jonathan Aris', 'Boyle', 'Constantine Gregory', 'Dmitriev']",0.56,0.54,95,Crime,https://www.rottentomatoes.com/m/10008754-flawless,"Crime, Drama"
Earthquake Bird,"While working as a translator in Japan, a woman falls for a photographer, but consequences arise after she meets and befriends a woman who interrupts their life.",Eng,107,Wash Westmoreland,"['Alicia Vikander', 'Lucy Fly', 'Riley Keough', 'Lily Bridges', 'Kiki Sukezane', 'Natsuko', 'Jack Huston', 'Bob', 'Ken Yamamura', 'Oguchi', 'Crystal Kay', 'Nightclub singer']",0.49,0.54,41,Crime,https://www.rottentomatoes.com/m/earthquake_bird,"Crime, Drama"
Roman J Israel Esq,"Roman J. Israel is an idealistic defense attorney whose life gets upended when his boss and mentor -- the legendary civil rights icon William Henry Jackson -- dies unexpectedly. He's then recruited to join a law firm led by George Pierce, an ambitious lawyer who was one of Jackson's former students. Israel's legacy of activism soon gets put to the test when he takes on the case of Langston Bailey, a young man accused of murdering a convenience store clerk.",Eng,117,Dan Gilroy,"['Denzel Washington', 'Roman J. Israel, Esq.', 'Colin Farrell', 'George Pierce', 'Carmen Ejogo', 'Maya Alston', 'Lynda Gravatt', 'Vernita Wells', 'Amanda Warren', 'Lynn Jackson', 'Hugo Armstrong', 'Fritz Molinar']",0.55,0.57,177,Crime,https://www.rottentomatoes.com/m/roman_j_israel_esq,"Crime, Drama, Mystery & thriller"
Dark Crimes,A hard-boiled detective becomes suspicious of an author when the incidents described in his hit novel resemble the inner-workings of an unsolved murder.,Eng,92,Alexandros Avranas,"['Jim Carrey', 'Tadek', 'Charlotte Gainsbourg', 'Kasia', 'Marton Csokas', 'Kozlow', 'Kati Outinen', 'Malinowska', 'Vlad Ivanov', 'Piotr', 'Agata Kulesza', 'Marta']",0.0,0.3,37,Crime,https://www.rottentomatoes.com/m/dark_crimes,"Crime, Drama, Mystery & thriller"
Bone Collector,"Policewoman Amelia Donaghy (Angelina Jolie) is in hot pursuit of a serial murderer whose calling card is a small shard of bone extracted from each of his victims. Unable to decipher the cryptic clues the killer leaves behind at the scene of the crime, Amelia calls upon quadriplegic forensic criminology expert Lincoln Rhyme (Denzel Washington) to help. With Amelia acting as Rhyme's able-bodied go-between, the pair piece together disparate clues, hoping they will learn who the next victim is.",Eng,113,Phillip Noyce,"['Denzel Washington', 'Lincoln Rhyme', 'Angelina Jolie', 'Amelia Donaghy', 'Queen Latifah', 'Thelma', 'Michael Rooker', 'Captain Howard Cheney', 'Michael McGlone', 'Detective Kenny Solomon', 'Luis Guzmán', 'Eddie Ortiz']",0.28,0.63,88,Mystery & thriller,https://www.rottentomatoes.com/m/bone_collector,"Mystery & thriller, Crime, Drama"
Oceans Twelve,"After successfully robbing five casinos in one night, Danny Ocean (George Clooney) and his crew of thieves have big problems. Despite pulling off one of the biggest heists in Las Vegas history, the members of the gang have already spent much of the money they stole. Casino owner Terry Benedict (Andy Garcia) demands that Ocean return the money, plus millions more in interest. Unable to come up the cash, the crew is forced to come together to pull off another series of heists, this time in Europe.",Eng,125,Steven Soderbergh,"['George Clooney', 'Danny Ocean', 'Brad Pitt', 'Rusty Ryan', 'Matt Damon', 'Linus Caldwell', 'Catherine Zeta-Jones', 'Isabel Lahi', 'Andy Garcia', 'Terry Benedict', 'Don Cheadle', 'Basher Tarr']",0.55,0.6,188,Comedy,https://www.rottentomatoes.com/m/oceans_twelve,"Comedy, Drama, Crime"
Four Brothers,"When an inner-city Detroit foster mother (Fionnula Flanagan) is murdered in a botched holdup, four of her now-grown adopted children suspect it was no random killing. Rising musician Jack (Garrett Hedlund), former-Marine Angel (Tyrese Gibson), hotheaded hockey player Bobby (Mark Wahlberg) and settled-down husband and father Jeremiah (André Benjamin) go on the hunt for neighborhood criminal kingpin Victor Sweet (Chiwetel Ejiofor) while being trailed themselves by the local beat cops.",Eng,108,John Singleton,"['Mark Wahlberg', 'Bobby Mercer', 'Tyrese Gibson', 'Angel Mercer', 'André Benjamin', 'Jeremiah Mercer', 'Garrett Hedlund', 'Jack Mercer', 'Terrence Howard', 'Lt. Green', 'Josh Charles', 'Detective Fowler']",0.53,0.8,133,Crime,https://www.rottentomatoes.com/m/four_brothers,"Crime, Drama, Action"
Deadfall 2012,"En route to Canada with stolen casino loot, a thief (Olivia Wilde) separates from her brother (Eric Bana) and falls in with a boxer (Charlie Hunnam) who's on his way home for Thanksgiving.",Eng,95,Stefan Ruzowitzky,"['Eric Bana', 'Addison', 'Charlie Hunnam', 'Jay Mills', 'Olivia Wilde', 'Liza', 'Kris Kristofferson', 'Chet Mills', 'Sissy Spacek', 'June Mills', 'Kate Mara', 'Hanna']",0.35,0.37,81,Mystery & thriller,https://www.rottentomatoes.com/m/deadfall_2012,"Mystery & thriller, Crime, Drama"
Paradise Highway,"Academy Award® winners Juliette Binoche and Morgan Freeman lead this riveting thriller set in the trucking industry and its seamy underbelly of human trafficking. To save the life of her brother (Frank Grillo), Sally (Binoche), a truck driver, reluctantly agrees to smuggle illicit cargo: a girl named Leila (Hala Finley). As Sally and Leila begin a danger-fraught journey across state lines, a dogged FBI operative (Freeman) sets out on their trail, determined to do whatever it takes to terminate a human-trafficking operation -- and bring Sally and Leila to safety.",Eng,115,Anna Gutto,"['Juliette Binoche', 'Sally', 'Morgan Freeman', 'Gerick', 'Frank Grillo', 'Dennis', 'Cameron Monaghan', 'Special Agent Finley Sterling', 'Hala Finley', 'Leila', 'Christiane Seidel', 'Claire']",0.15,0.66,20,Mystery & thriller,https://www.rottentomatoes.com/m/paradise_highway,"Mystery & thriller, Crime, Drama"
Blackhat,"After a Hong Kong nuclear plant and the Mercantile Trade Exchange in Chicago are hacked by unknown perpetrators, a federal agent (Viola Davis) proposes that the FBI work with China to find the cyber-criminals. The leader of the Chinese team, Chen Dawai, insists that convicted hacker Nick Hathaway (Chris Hemsworth) be released from prison to help with the investigation. As Nick and his comrades chase their quarry, it becomes evident that the hackers have a sinister motive for their actions.",Eng,134,Michael Mann,"['Chris Hemsworth', 'Nick Hathaway', 'Wei Tang', 'Chen Lien', 'Viola Davis', 'Carol Barrett', 'Ritchie Coster', 'Elias Kassar', 'Holt McCallany', 'Mark Jessup', 'John Ortiz', 'Henry Pollack']",0.33,0.24,192,Mystery & thriller,https://www.rottentomatoes.com/m/blackhat,"Mystery & thriller, Action, Crime, Drama"
